com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
01004,1,2,2,0,4.0
01024,1,1,3,0,4.0
01029,1,1,1,0,3.0
01053,2,4,3,1,4.0
01142,1,2,2,0,2.0
01185,1,2,6,0,3.0
01211,1,1,4,0,4.0
01213,4,9,6,5,3.25
01229,1,1,0,1,3.0
01230,1,1,1,0,3.0
01248,1,2,2,0,4.0
01249,1,1,3,0,3.0
01263,1,2,2,0,4.0
01265,1,1,2,2,4.0
01276,1,2,0,1,4.0
01283,1,1,2,0,3.0
01299,1,2,2,0,2.0
01319,1,1,3,1,3.0
01373,1,1,1,1,4.0
01376,1,1,1,1,4.0
02158,1,2,2,0,4.0
02163,1,2,1,1,3.0
02232,1,1,1,0,3.0
02235,1,1,1,0,4.0
02286,1,2,1,1,4.0
02408,1,2,1,1,4.0
02453,1,2,2,0,4.0
02514,1,1,1,0,2.0
02555,1,1,1,0,3.0
02571,1,2,2,0,3.0
02656,1,2,2,1,3.0
02680,1,1,2,0,3.0
02691,1,1,1,1,2.0
02697,1,2,2,0,4.0
02706,1,1,1,1,4.0
02738,1,2,0,2,4.0
02810,1,1,2,0,2.0
02814,1,1,5,0,4.0
03019,1,1,2,0,4.0
03036,1,1,0,1,3.0
03056,1,1,1,0,3.0
03080,1,1,3,0,4.0
03095,1,1,0,2,3.0
03101,1,2,3,1,4.0
03102,1,1,1,1,4.0
03103,1,1,2,0,3.0
03176,1,1,1,0,3.0
03185,2,4,3,3,4.0
03190,1,2,2,0,4.0
03197,1,1,1,0,3.0
03321,1,2,2,0,3.0
04070,2,2,3,1,4.0
04084,2,3,2,1,3.0
04086,1,1,1,0,4.0
04112,3,3,2,4,3.67
05010,1,1,1,0,3.0
05023,1,2,2,1,4.0
05046,1,2,1,1,4.0
05061,4,5,4,4,3.5
05070,1,1,0,2,4.0
05156,1,1,1,0,4.0
05170,1,1,1,0,3.0
06004,2,3,1,3,3.0
06018,1,2,1,1,4.0
06027,7,10,12,3,3.71
06029,3,5,5,1,4.0
06032,1,2,1,1,4.0
06059,2,3,3,0,3.0
06067,1,2,2,0,2.0
06069,11,21,19,6,4.0
06070,1,1,1,0,2.0
06075,1,2,2,0,3.0
06079,4,7,4,2,3.75
06083,1,1,3,0,4.0
06085,3,5,5,1,3.33
06088,13,23,21,8,3.62
06101,1,2,1,1,4.0
06108,1,3,2,1,4.0
06109,1,2,2,1,4.0
06113,1,2,2,0,3.0
06114,1,2,2,0,4.0
06126,1,1,1,0,3.0
06147,2,3,1,3,3.5
06149,3,7,7,1,3.67
06150,1,1,1,0,3.0
06151,1,1,2,0,4.0
06152,1,1,2,0,4.0
06155,1,1,1,0,4.0
06159,2,3,3,1,4.0
06161,4,8,9,2,3.75
07019,1,2,2,0,3.0
07059,1,2,2,1,4.0
07102,1,1,0,1,4.0
07117,1,1,1,0,4.0
07159,1,2,2,0,2.0
07204,1,1,0,1,3.0
07227,1,2,2,0,2.0
07237,1,2,2,1,4.0
07281,1,1,2,0,4.0
07296,1,2,2,0,4.0
07316,1,2,1,1,4.0
07324,1,1,2,0,2.0
07343,1,1,1,0,3.0
08163,1,2,3,0,3.0
08180,1,3,3,0,3.0
08409,1,2,1,1,3.0
08452,1,2,1,0,4.0
09066,1,1,0,1,4.0
09082,1,1,0,1,3.0
09122,1,1,2,0,3.0
09130,1,1,1,1,3.0
09160,1,2,1,1,4.0
09181,1,1,4,0,4.0
09225,4,5,5,4,4.0
09261,1,2,3,0,3.0
09282,1,2,2,0,4.0
09332,1,3,4,1,4.0
10063,1,1,1,0,2.0
10081,2,3,3,0,4.0
10106,1,1,0,1,4.0
10256,1,1,3,1,4.0
10287,1,2,1,2,3.0
10295,1,2,0,3,4.0
10325,1,2,1,1,3.0
10333,3,6,2,3,4.0
10338,1,3,3,0,4.0
10343,1,1,1,0,4.0
10351,1,2,2,0,3.0
10357,2,3,2,2,3.5
10387,8,16,11,9,3.88
11049,1,1,1,0,3.0
11069,11,17,15,8,3.82
11262,3,5,7,1,3.33
11304,1,2,1,1,2.0
11355,1,2,2,0,4.0
11397,1,2,1,1,3.0
11421,1,1,2,0,4.0
11424,1,1,0,2,3.0
12056,1,2,0,2,4.0
12068,1,2,2,0,3.0
12090,1,1,1,0,3.0
12105,1,2,2,0,4.0
12120,1,1,1,0,3.0
12154,1,2,2,0,3.0
12169,1,1,3,0,4.0
12198,2,2,1,1,3.0
12200,1,1,2,0,3.0
12202,1,1,1,1,3.0
12208,1,2,2,1,3.0
12254,1,2,1,1,4.0
13055,151,279,246,113,3.69
14032,1,1,0,3,4.0
14047,1,2,2,0,4.0
14061,1,2,2,1,3.0
14076,1,1,4,0,3.0
14118,3,6,4,3,4.0
14177,1,1,1,1,3.0
14181,1,1,0,1,4.0
14209,1,2,3,2,4.0
14225,1,2,4,2,4.0
14252,1,2,5,2,4.0
14256,1,2,1,1,3.0
14305,1,1,0,1,4.0
14327,1,2,0,2,3.0
14333,1,2,1,1,3.0
14357,1,1,1,0,3.0
14366,2,4,1,3,4.0
14435,1,1,0,1,4.0
14437,2,5,5,0,3.0
14455,1,1,1,0,3.0
14475,1,1,0,2,4.0
14487,1,2,1,1,4.0
14530,1,2,2,0,4.0
14550,1,1,1,0,4.0
14554,1,2,1,1,4.0
14582,1,1,1,0,3.0
14712,1,2,2,0,4.0
14726,1,2,2,0,4.0
14728,1,2,1,1,3.0
15012,2,4,5,3,4.0
15014,1,1,0,1,4.0
15045,1,1,0,1,4.0
15202,1,2,1,1,3.0
16015,1,2,4,0,4.0
16070,2,2,1,2,3.5
16082,2,2,4,0,3.0
16102,1,2,2,0,3.0
16106,1,1,1,1,3.0
16168,1,1,1,0,3.0
16287,2,3,2,2,3.0
16334,1,1,1,0,4.0
16380,1,1,3,2,3.0
16393,1,1,1,0,3.0
17043,1,2,2,0,3.0
17045,1,2,3,2,4.0
17058,1,1,1,0,3.0
17091,1,4,4,2,4.0
17095,1,2,1,1,3.0
17219,1,2,2,0,3.0
17223,1,1,2,0,4.0
17291,1,2,1,1,4.0
17300,4,7,7,3,4.0
17306,3,6,7,0,3.67
17317,1,2,1,1,4.0
17336,1,2,2,0,3.0
17346,1,2,1,1,3.0
17353,1,1,3,0,4.0
17366,1,1,2,2,4.0
17415,4,8,6,2,3.75
17447,1,1,1,0,3.0
17448,1,2,5,1,4.0
17466,1,2,2,1,4.0
17483,1,1,1,0,2.0
18033,1,2,4,1,4.0
18073,1,1,2,0,4.0
18082,1,1,2,1,4.0
18118,1,3,2,2,4.0
18126,1,2,1,1,2.0
18151,1,1,1,0,4.0
18205,1,2,1,1,4.0
18223,1,2,2,0,3.0
18233,1,1,1,0,2.0
18257,1,2,0,2,2.0
18270,1,2,2,1,4.0
18279,2,4,4,1,3.5
19010,1,1,1,0,3.0
19031,3,6,4,2,4.0
19055,1,1,0,1,3.0
19063,1,2,2,0,3.0
19101,1,1,2,0,4.0
19110,1,1,1,0,2.0
19129,1,2,1,1,4.0
19178,1,2,2,1,4.0
19229,1,2,6,3,4.0
19272,1,2,1,1,4.0
