com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes
01001,1,1,0,0
01010,1,2,0,0
01016,1,1,0,0
01033,2,4,0,0
01045,1,2,0,0
01053,1,2,0,0
01066,1,1,0,0
01068,1,1,0,0
01069,1,2,0,0
01085,1,1,0,0
01087,1,1,0,0
01133,1,1,0,0
01143,1,2,0,0
01163,1,2,0,0
01165,1,1,0,0
01179,1,1,0,0
01207,1,1,0,0
01249,1,2,0,0
01264,1,1,0,0
01275,1,1,0,0
01289,1,1,0,0
01306,1,1,0,0
01319,1,1,0,0
01335,1,3,0,0
01348,1,3,0,0
01353,1,2,0,0
01383,1,2,0,0
01390,1,2,0,0
01426,1,1,0,0
01446,1,2,0,0
01447,1,1,0,0
01451,3,6,0,0
02203,1,1,0,0
02215,1,2,0,0
02221,1,2,0,0
02264,1,2,0,0
02290,2,4,0,0
02303,1,2,0,0
02339,1,1,0,0
02341,1,2,0,0
02352,1,2,0,0
02382,1,2,0,0
02408,2,3,0,0
02419,1,1,0,0
02441,1,1,0,0
02447,1,1,0,0
02502,1,1,0,0
02532,1,2,0,0
02543,1,1,0,0
02722,4,5,0,0
02734,1,1,0,0
02738,1,2,0,0
02776,1,2,0,0
02807,1,3,0,0
02810,1,2,0,0
02816,1,1,0,0
03008,1,1,0,0
03031,1,1,0,0
03085,1,1,0,0
03101,1,1,0,0
03104,1,1,0,0
03118,1,2,0,0
03156,1,2,0,0
03185,1,2,0,0
03242,1,2,0,0
03243,1,2,0,0
03254,2,3,0,0
03258,1,1,0,0
03267,1,2,0,0
03278,1,2,0,0
03281,1,2,0,0
03286,1,2,0,0
03290,1,1,0,0
03310,2,4,0,0
03312,1,1,0,0
03316,1,2,0,0
03321,1,2,0,0
04024,1,2,0,0
04033,1,1,0,0
04036,1,2,0,0
04054,1,1,0,0
04070,4,6,0,0
04076,1,2,0,0
04084,1,1,0,0
04094,1,2,0,0
04102,1,2,0,0
04107,1,1,0,0
04112,2,3,0,0
04143,1,1,0,0
04162,1,1,0,0
04208,1,1,0,0
04209,1,6,0,0
04218,1,1,0,0
05011,1,1,0,0
05052,1,2,0,0
05061,6,10,0,0
05068,1,2,0,0
05106,1,3,0,0
05127,1,1,0,0
05164,1,3,0,0
05170,1,2,0,0
06004,3,6,0,0
06018,1,2,0,0
06023,2,2,0,0
06027,3,5,0,0
06029,7,13,0,0
06030,1,1,0,0
06032,1,3,0,0
06044,1,1,0,0
06046,1,2,0,0
06057,1,3,0,0
06059,1,1,0,0
06065,1,1,0,0
06069,12,21,0,0
06070,1,2,0,0
06075,1,1,0,0
06079,2,3,0,0
06083,1,2,0,0
06085,2,3,0,0
06088,12,18,0,0
06095,1,1,0,0
06123,4,7,0,0
06138,1,1,0,0
06146,1,1,0,0
06149,4,7,0,0
06152,1,2,0,0
06154,1,1,0,0
07007,1,2,0,0
07008,1,3,0,0
07042,1,3,0,0
07069,1,1,0,0
07070,1,1,0,0
07085,1,1,0,0
07086,1,2,0,0
07097,1,3,0,0
07102,2,4,0,0
07126,1,1,0,0
07129,1,2,0,0
07133,1,1,0,0
07156,1,2,0,0
07165,1,2,0,0
07167,1,2,0,0
07186,1,1,0,0
07201,1,1,0,0
07204,1,1,0,0
07229,1,1,0,0
07264,1,2,0,0
07268,1,1,0,0
07281,3,6,0,0
07316,2,2,0,0
07324,1,1,0,0
08081,1,1,0,0
08105,1,1,0,0
08217,1,1,0,0
08298,1,1,0,0
08316,1,1,0,0
08367,1,1,0,0
08409,1,3,0,0
08480,1,1,0,0
08497,1,1,0,0
08498,1,2,0,0
09082,1,1,0,0
09121,1,1,0,0
09122,1,2,0,0
09160,1,1,0,0
09193,1,2,0,0
09216,1,2,0,0
09272,1,2,0,0
10063,1,2,0,0
10081,1,2,0,0
10126,1,2,0,0
10184,1,1,0,0
10221,1,1,0,0
10232,2,3,0,0
10233,1,1,0,0
10265,1,1,0,0
10268,1,2,0,0
10323,2,2,0,0
10325,1,1,0,0
10333,4,8,0,0
10343,2,4,0,0
10345,1,1,0,0
10357,3,5,0,0
10362,1,2,0,0
10375,1,2,0,0
10387,9,16,0,0
10402,1,1,0,0
11067,1,2,0,0
11069,15,26,0,0
11098,1,1,0,0
11105,1,3,0,0
11129,1,1,0,0
11144,1,2,0,0
11148,1,2,0,0
11170,2,4,0,0
11188,1,2,0,0
11209,1,2,0,0
11257,1,2,0,0
11262,8,13,0,0
11337,1,1,0,0
11413,1,1,0,0
12012,1,2,0,0
12044,1,2,0,0
12064,1,2,0,0
12066,1,1,0,0
12088,1,2,0,0
12119,1,1,0,0
12131,1,1,0,0
12133,1,2,0,0
12140,1,2,0,0
12157,1,2,0,0
12182,1,2,0,0
12202,1,1,0,0
12266,1,2,0,0
13055,168,322,0,0
14011,1,1,0,0
14035,1,1,0,0
14061,2,2,0,0
14086,1,2,0,0
14098,1,1,0,0
