com_insee,nbr_accidents
01024,1
01053,2
01057,1
01063,1
01069,1
01092,1
01108,1
01113,1
01133,1
01134,1
01143,1
01153,1
01179,1
01200,1
01209,2
01228,1
01237,1
01244,1
01249,2
01259,1
01269,1
01272,1
01274,2
01275,1
01276,1
01283,2
01294,1
01303,1
01319,1
01320,1
01323,1
01333,1
01353,2
01354,3
01357,1
01376,1
01403,1
01405,1
01450,1
01451,2
02064,1
02067,1
02081,1
02197,1
02215,1
02248,1
02304,1
02307,1
02316,1
02328,1
02364,1
02408,3
02422,1
02433,1
02450,1
02495,1
02600,1
02602,1
02676,1
02691,1
02721,1
02722,1
02748,1
02810,1
03002,1
03019,1
03031,1
03044,1
03049,1
03062,1
03092,1
03093,1
03094,1
03102,1
03107,1
03126,1
03136,1
03175,1
03185,4
03189,1
03190,1
03226,1
03254,1
03264,1
03268,1
03283,1
03290,1
03298,1
03307,1
03315,1
03321,1
04033,1
04054,1
04070,6
04094,1
04112,4
04121,1
04152,2
04188,1
04193,1
04209,1
04230,1
05007,2
05023,1
05045,1
05052,1
05061,10
05084,1
05092,1
05101,1
05124,1
05161,1
05166,1
06004,2
06012,1
06018,3
06019,1
06027,5
06029,4
06055,1
06059,1
06069,14
06073,1
06078,1
06079,5
06080,1
06083,1
06085,2
06088,13
06101,1
06104,2
06123,1
06126,1
06134,1
06136,1
06140,1
06142,1
06143,1
06152,1
06154,1
06155,3
06161,4
07005,1
07010,2
07011,1
07015,1
07018,1
07027,1
07070,1
07100,1
07114,1
07129,1
07136,1
07162,1
07191,1
07207,1
07213,1
07235,1
07241,1
07245,1
07281,7
07292,1
07316,1
07324,1
07346,1
08001,1
08015,1
08027,1
08071,1
08105,1
08137,1
08222,1
08413,1
08433,1
08457,1
08491,1
09003,1
09090,1
09122,1
09143,1
09173,1
09189,2
09225,4
09282,1
09309,1
10006,1
10033,1
10054,1
10081,2
10165,1
10265,1
10268,1
10297,1
10317,1
10321,1
10323,2
10333,3
10340,1
10343,3
10362,3
10381,1
10387,17
10437,1
11001,1
11006,1
11018,1
11033,1
11069,15
